r,c,lon,lat,lst
5.0,17.0,88.2864406779661,22.67457627118644,37.4
5.0,18.0,88.29152542372881,22.67457627118644,37.8
5.0,19.0,88.29661016949153,22.67457627118644,37.4
5.0,20.0,88.30169491525425,22.67457627118644,40.4
5.0,21.0,88.30677966101695,22.67457627118644,37.0
5.0,22.0,88.31186440677966,22.67457627118644,41.2
5.0,23.0,88.31694915254238,22.67457627118644,37.2
5.0,24.0,88.32203389830508,22.67457627118644,37.1
5.0,25.0,88.3271186440678,22.67457627118644,35.8
5.0,26.0,88.33220338983051,22.67457627118644,36.0
5.0,27.0,88.33728813559323,22.67457627118644,37.6
5.0,28.0,88.34237288135593,22.67457627118644,39.9
5.0,29.0,88.34745762711864,22.67457627118644,39.6
5.0,30.0,88.35254237288136,22.67457627118644,37.8
5.0,31.0,88.35762711864407,22.67457627118644,30.3
5.0,32.0,88.36271186440678,22.67457627118644,36.4
5.0,33.0,88.36779661016949,22.67457627118644,42.8
5.0,34.0,88.37288135593221,22.67457627118644,38.8
5.0,35.0,88.37796610169492,22.67457627118644,38.8
5.0,36.0,88.38305084745762,22.67457627118644,40.5
5.0,37.0,88.38813559322034,22.67457627118644,41.1
5.0,38.0,88.39322033898306,22.67457627118644,37.2
5.0,39.0,88.39830508474576,22.67457627118644,37.4
5.0,40.0,88.40338983050847,22.67457627118644,39.3
5.0,41.0,88.40847457627119,22.67457627118644,38.1
5.0,42.0,88.4135593220339,22.67457627118644,38.3
5.0,43.0,88.4186440677966,22.67457627118644,34.3
5.0,44.0,88.42372881355932,22.67457627118644,34.9
5.0,45.0,88.42881355932204,22.67457627118644,38.7
5.0,46.0,88.43389830508475,22.67457627118644,36.9
5.0,47.0,88.43898305084745,22.67457627118644,36.8
5.0,48.0,88.44406779661017,22.67457627118644,39.7
5.0,49.0,88.44915254237289,22.67457627118644,41.3
5.0,50.0,88.45423728813559,22.67457627118644,37.6
5.0,51.0,88.4593220338983,22.67457627118644,38.8
5.0,52.0,88.46440677966102,22.67457627118644,36.7
5.0,53.0,88.46949152542373,22.67457627118644,35.7
5.0,54.0,88.47457627118644,22.67457627118644,36.3
5.0,55.0,88.47966101694915,22.67457627118644,35.5
5.0,56.0,88.48474576271187,22.67457627118644,35.1
5.0,57.0,88.48983050847458,22.67457627118644,36.5
5.0,58.0,88.49491525423728,22.67457627118644,34.7
5.0,59.0,88.5,22.67457627118644,37.5
6.0,0.0,88.2,22.669491525423727,34.0
6.0,1.0,88.20508474576272,22.669491525423727,34.7
6.0,2.0,88.21016949152542,22.669491525423727,35.1
6.0,3.0,88.21525423728814,22.669491525423727,35.9
6.0,4.0,88.22033898305085,22.669491525423727,35.9
6.0,5.0,88.22542372881357,22.669491525423727,35.4
6.0,6.0,88.23050847457627,22.669491525423727,34.9
6.0,7.0,88.23559322033898,22.669491525423727,35.8
6.0,8.0,88.2406779661017,22.669491525423727,34.4
6.0,9.0,88.24576271186442,22.669491525423727,35.8
6.0,10.0,88.25084745762712,22.669491525423727,35.1
6.0,11.0,88.25593220338983,22.669491525423727,33.2
6.0,12.0,88.26101694915255,22.669491525423727,35.0
6.0,13.0,88.26610169491525,22.669491525423727,34.4
6.0,14.0,88.27118644067797,22.669491525423727,33.9
6.0,15.0,88.27627118644068,22.669491525423727,35.2
6.0,16.0,88.2813559322034,22.669491525423727,35.3
